axis,value,seeds,corrected_snr_mean,corrected_snr_sd,uncorrected_snr_mean,uncorrected_snr_sd,clean_distortion_db_mean,clean_distortion_db_sd,removed_variance_mean,accepted_beat_fraction_mean,nearest_source_mm_mean
components,1,30,1.827203,0.118120,1.255144,0.054120,12.144718,0.558068,0.327980,0.394363,15.907357
components,2,30,1.967884,0.241678,1.255144,0.054120,12.890126,0.663851,0.439926,0.394363,15.907357
components,3,30,2.382566,0.445926,1.255144,0.054120,13.656228,0.828640,0.469818,0.394363,15.907357
components,4,30,2.079702,0.758668,1.255144,0.054120,14.302931,0.910890,0.569263,0.394363,15.907357
components,6,30,1.423189,0.407599,1.255144,0.054120,14.699607,0.976571,0.729914,0.394363,15.907357
components,8,30,1.423189,0.407599,1.255144,0.054120,14.699607,0.976571,0.729914,0.394363,15.907357
