axis,value,seeds,corrected_snr_mean,corrected_snr_sd,uncorrected_snr_mean,uncorrected_snr_sd,clean_distortion_db_mean,clean_distortion_db_sd,removed_variance_mean,accepted_beat_fraction_mean,nearest_source_mm_mean
channels,20,30,2.079702,0.758668,1.255144,0.054120,14.302931,0.910890,0.569263,0.394363,15.907357
channels,32,30,2.478464,0.838997,1.174482,0.050955,15.840731,1.115009,0.519783,0.456361,15.907357
channels,64,30,2.007033,0.649683,1.140205,0.049172,14.799699,1.029887,0.587732,0.471015,15.907357
channels,128,30,2.121903,0.571348,1.177386,0.050261,13.512468,1.106852,0.516144,0.446477,15.907357
channels,256,30,2.113804,0.575370,1.180255,0.050274,12.040158,0.948763,0.506322,0.446573,15.907357
