axis,value,seeds,corrected_snr_mean,corrected_snr_sd,uncorrected_snr_mean,uncorrected_snr_sd,clean_distortion_db_mean,clean_distortion_db_sd,removed_variance_mean,accepted_beat_fraction_mean,nearest_source_mm_mean
brain-regularization,0.002,30,1.991877,0.743395,1.255144,0.054120,14.797735,1.017459,0.584112,0.394363,15.907357
brain-regularization,0.005,30,2.027002,0.749414,1.255144,0.054120,14.637594,0.993826,0.577328,0.394363,15.907357
brain-regularization,0.01,30,2.054976,0.753647,1.255144,0.054120,14.479378,0.960119,0.572488,0.394363,15.907357
brain-regularization,0.02,30,2.079702,0.758668,1.255144,0.054120,14.302931,0.910890,0.569263,0.394363,15.907357
brain-regularization,0.05,30,2.110630,0.770650,1.255144,0.054120,14.037830,0.841722,0.567457,0.394363,15.907357
brain-regularization,0.1,30,2.135297,0.785848,1.255144,0.054120,13.806616,0.809280,0.567343,0.394363,15.907357
brain-regularization,0.2,30,2.155893,0.803152,1.255144,0.054120,13.562797,0.792266,0.568642,0.394363,15.907357
