axis,value,seeds,corrected_snr_mean,corrected_snr_sd,uncorrected_snr_mean,uncorrected_snr_sd,clean_distortion_db_mean,clean_distortion_db_sd,removed_variance_mean,accepted_beat_fraction_mean,nearest_source_mm_mean
duration,30,30,1.201534,0.230217,1.107871,0.065987,13.490679,0.951401,0.841357,0.531667,15.907357
duration,60,30,1.385633,0.467813,1.165559,0.057044,14.394040,0.788022,0.772870,0.475225,15.907357
duration,120,30,2.016753,0.667012,1.224163,0.082886,14.075870,0.890943,0.596500,0.424525,15.907357
duration,180,30,2.079702,0.758668,1.255144,0.054120,14.302931,0.910890,0.569263,0.394363,15.907357
duration,300,30,2.362974,0.626398,1.260362,0.068504,13.995012,0.859617,0.516037,0.391871,15.907357
