axis,value,seeds,corrected_snr_mean,corrected_snr_sd,uncorrected_snr_mean,uncorrected_snr_sd,clean_distortion_db_mean,clean_distortion_db_sd,removed_variance_mean,accepted_beat_fraction_mean,nearest_source_mm_mean,condition_indicator_mean
correction-electrode-jitter,0,30,2.079702,0.758668,1.255144,0.054120,14.302931,0.910890,0.569263,0.394363,15.907357,71.0
correction-electrode-jitter,1,30,2.053916,0.769927,1.255144,0.054120,14.454129,1.128718,0.576426,0.394363,15.907357,73.1
correction-electrode-jitter,2,30,1.952076,0.772378,1.255144,0.054120,14.599837,1.270043,0.599834,0.394363,15.907357,75.4
correction-electrode-jitter,3,30,1.837993,0.744149,1.255144,0.054120,14.652128,1.253067,0.627953,0.394363,15.907357,77.9
correction-electrode-jitter,5,30,1.620317,0.594027,1.255144,0.054120,14.559584,1.097643,0.678737,0.394363,15.907357,83.2
correction-electrode-jitter,7,30,1.412574,0.414052,1.255144,0.054120,14.368522,0.959818,0.737098,0.394363,15.907357,87.6
correction-electrode-jitter,10,30,1.115303,0.206210,1.255144,0.054120,14.054199,0.839262,0.900685,0.394363,15.907357,88.4
correction-electrode-jitter,15,30,1.124882,0.262038,1.255144,0.054120,13.772136,0.801044,0.912042,0.394363,15.907357,86.3
