axis,value,seeds,corrected_snr_mean,corrected_snr_sd,uncorrected_snr_mean,uncorrected_snr_sd,clean_distortion_db_mean,clean_distortion_db_sd,removed_variance_mean,accepted_beat_fraction_mean,nearest_source_mm_mean
sources,9,30,1.817177,0.525636,1.255144,0.054120,14.654842,0.910273,0.603246,0.394363,21.312778
sources,19,30,1.952466,0.690700,1.255144,0.054120,14.392317,0.861122,0.586413,0.394363,15.907357
sources,29,30,2.079702,0.758668,1.255144,0.054120,14.302931,0.910890,0.569263,0.394363,15.907357
sources,49,30,2.051642,0.756496,1.255144,0.054120,14.215303,0.888982,0.570869,0.394363,8.630179
sources,69,30,2.044550,0.737939,1.255144,0.054120,14.262715,0.930208,0.569490,0.394363,8.630179
