axis,value,seeds,corrected_snr_mean,corrected_snr_sd,uncorrected_snr_mean,uncorrected_snr_sd,clean_distortion_db_mean,clean_distortion_db_sd,removed_variance_mean,accepted_beat_fraction_mean,nearest_source_mm_mean
offset,0,30,2.079702,0.758668,1.255144,0.054120,14.302931,0.910890,0.569263,0.394363,15.907357
offset,2,30,2.081575,0.752205,1.255144,0.054120,14.306848,0.919159,0.568905,0.394363,15.478423
offset,5,30,2.075816,0.741089,1.255144,0.054120,14.311446,0.928197,0.569734,0.394363,15.340096
offset,10,30,2.051408,0.723412,1.255144,0.054120,14.313473,0.929395,0.573617,0.394363,16.452703
offset,20,30,1.971719,0.698360,1.255144,0.054120,14.283936,0.862616,0.588408,0.394363,16.887408
