axis,value,engine,seed,metric_p90,metric_median,truth_p90,truth_median,inband_metric_p90,inband_truth_p90,removed,coverage
slow modulation,0.6,Local median,2,0.90693,0.90554,8128.18397,1825.24903,0.56857,388.07885,0.855764,1.0000
anti-alias,off,FASTR,1,0.17916,0.17838,52392.96228,12052.43755,0.16983,49774.61936,0.635938,1.0000
anti-alias,off,Allen IAR,1,0.47747,0.46895,98856.23620,22697.16090,0.60843,100916.36257,0.158862,1.0000
anti-alias,off,Local median,1,0.75353,0.75332,137230.23229,31586.98737,0.70773,142434.45426,0.038929,1.0000
anti-alias,off,FASTR,2,0.17976,0.17894,54390.72011,12217.07338,0.16978,51648.35788,0.636001,1.0000
anti-alias,off,Allen IAR,2,0.48532,0.47582,102415.39264,23055.69777,0.60765,104482.68842,0.159888,1.0000
anti-alias,off,Local median,2,0.75392,0.75327,142464.15660,32018.18255,0.70724,147795.89622,0.038946,1.0000
rate Hz,250,FASTR,1,0.93214,0.92957,2279.51987,524.46276,0.97779,1513.04441,1.008471,1.0000
rate Hz,250,Allen IAR,1,0.78088,0.77922,7722.36815,1776.59196,0.45010,791.77380,0.782500,1.0000
rate Hz,250,Local median,1,0.84449,0.84327,13400.73291,3082.08210,0.96132,730.29122,0.888187,1.0000
rate Hz,250,FASTR,2,0.93192,0.92915,2366.40571,531.61390,0.97794,1570.11599,1.008472,1.0000
rate Hz,250,Allen IAR,2,0.78098,0.77983,8016.62756,1800.76578,0.45084,821.59370,0.782501,1.0000
rate Hz,250,Local median,2,0.84393,0.84292,13913.31449,3124.52680,0.96196,758.58560,0.888212,1.0000
rate Hz,1000,FASTR,1,0.96663,0.94830,238.85270,55.03738,0.65957,3.77786,0.960984,1.0000
rate Hz,1000,Allen IAR,1,0.97808,0.97586,1685.24204,387.72836,0.31425,19.77383,0.781216,1.0000
rate Hz,1000,Local median,1,0.98737,0.98599,2327.71152,535.35398,0.81750,10.56837,0.906560,1.0000
rate Hz,1000,FASTR,2,0.96649,0.94911,247.96512,55.79114,0.66609,3.91866,0.960994,1.0000
rate Hz,1000,Allen IAR,2,0.97818,0.97568,1749.46757,393.00516,0.32425,20.50946,0.781198,1.0000
rate Hz,1000,Local median,2,0.98743,0.98587,2416.39220,542.60730,0.81916,10.96254,0.906621,1.0000
marker jitter smp,1,FASTR,1,0.94887,0.94512,1231.05926,283.27762,0.98237,534.74733,0.979558,1.0000
marker jitter smp,1,Allen IAR,1,0.86774,0.86712,10307.93369,2371.31778,0.46744,500.42256,0.439614,1.0000
marker jitter smp,1,Local median,1,0.88363,0.88332,13148.60958,3023.82378,0.95920,491.43734,0.522838,1.0000
marker jitter smp,1,FASTR,2,0.94575,0.94211,1205.02743,270.75857,0.98271,505.80378,0.979898,1.0000
marker jitter smp,1,Allen IAR,2,0.88437,0.88390,11364.05012,2552.65683,0.51639,563.13837,0.410650,1.0000
marker jitter smp,1,Local median,2,0.88862,0.88807,13790.73719,3096.78362,0.95709,648.02624,0.533151,1.0000
marker jitter smp,3,FASTR,1,0.93802,0.93432,1157.76634,266.39670,0.98127,486.22182,0.980875,1.0000
marker jitter smp,3,Allen IAR,1,0.86025,0.85950,11790.16567,2712.03837,0.71229,1045.33143,0.373002,1.0000
marker jitter smp,3,Local median,1,0.86270,0.86255,15837.03232,3641.26822,0.90913,1824.36898,0.442299,1.0000
marker jitter smp,3,FASTR,2,0.94308,0.93915,1301.89753,292.50573,0.98040,489.40528,0.976682,1.0000
marker jitter smp,3,Allen IAR,2,0.85373,0.85297,13593.18170,3053.59721,0.70651,1503.21729,0.323527,1.0000
marker jitter smp,3,Local median,2,0.87016,0.86966,17098.45989,3837.55735,0.90184,2126.64801,0.440213,1.0000
marker jitter smp,10,FASTR,1,0.88670,0.88371,1280.68616,295.61462,0.93271,524.09997,0.982280,1.0000
marker jitter smp,10,Allen IAR,1,0.60458,0.59571,17143.95070,4033.57153,0.74647,5842.29054,0.468933,1.0000
marker jitter smp,10,Local median,1,0.73386,0.72911,18957.83523,4371.68995,0.81107,4643.02216,0.228997,1.0000
marker jitter smp,10,FASTR,2,0.87760,0.87491,1487.19468,334.20888,0.94940,742.33946,0.987439,1.0000
marker jitter smp,10,Allen IAR,2,0.66330,0.66109,15824.69479,3555.13623,0.59293,3578.64280,0.269584,1.0000
marker jitter smp,10,Local median,2,0.72217,0.72118,20626.54239,4630.80165,0.85939,5116.69210,0.195592,1.0000
marker jitter smp,50,FASTR,1,0.72060,0.71893,1395.63854,321.82270,0.84203,588.07541,0.977923,1.0000
marker jitter smp,50,Allen IAR,1,0.25071,0.24086,15804.30160,3645.86442,0.45719,4524.95085,0.242480,1.0000
marker jitter smp,50,Local median,1,0.12892,0.12717,19863.43789,4577.84068,0.05303,6141.37931,0.097951,1.0000
marker jitter smp,50,FASTR,2,0.75734,0.75358,1521.99960,342.04317,0.83404,814.85723,0.989864,1.0000
marker jitter smp,50,Allen IAR,2,0.26127,0.25861,17768.64745,3991.74989,0.38269,5098.52716,0.323804,1.0000
marker jitter smp,50,Local median,2,0.07400,0.07112,20369.16927,4575.11720,0.06055,6036.38158,0.122679,1.0000
dropped markers,0.05,FASTR,1,0.73868,0.73578,5404.33141,1243.27385,0.52823,3997.29183,1.033639,1.0000
dropped markers,0.05,Allen IAR,1,0.81320,0.81192,49267.56842,10844.09059,0.82298,45071.21910,2.896842,1.0000
dropped markers,0.05,Local median,1,0.87763,0.87611,8954.94174,2059.64378,0.30736,3638.66914,0.952827,1.0000
dropped markers,0.05,FASTR,2,0.89055,0.88763,3096.57434,695.61307,0.81927,2046.82527,1.013354,1.0000
dropped markers,0.05,Allen IAR,2,0.79607,0.78991,16849.85437,3486.27067,0.79592,12889.90195,1.295338,1.0000
dropped markers,0.05,Local median,2,0.91184,0.91096,7290.51828,1637.00592,0.71370,1722.39710,0.914945,1.0000
dropped markers,0.20,FASTR,1,0.38676,0.38428,10561.33536,2429.54116,0.08714,8264.11838,1.059069,1.0000
dropped markers,0.20,Allen IAR,1,0.81342,0.80840,97260.92877,22368.88951,0.81681,92848.12960,5.179161,1.0000
dropped markers,0.20,Local median,1,0.74623,0.74490,13717.18547,3155.05525,0.00000,7985.68920,0.996565,1.0000
dropped markers,0.20,FASTR,2,0.49414,0.49262,8771.70137,1970.26606,0.17352,6745.51064,1.082794,1.0000
dropped markers,0.20,Allen IAR,2,0.79699,0.79570,64183.50594,14453.42730,0.79787,60169.09144,3.392416,1.0000
dropped markers,0.20,Local median,2,0.80153,0.79959,12624.04952,2835.01196,0.03150,6519.87709,1.001139,1.0000
FASTR donors/side,1,FASTR,1,0.94370,0.94063,1782.68042,410.42412,0.98662,586.09796,0.969783,1.0000
FASTR donors/side,1,FASTR,2,0.94346,0.94031,1849.97667,415.95454,0.98673,607.58044,0.969774,1.0000
FASTR donors/side,2,FASTR,1,0.94635,0.94331,1371.62683,315.70743,0.98557,545.41284,0.978049,1.0000
FASTR donors/side,2,FASTR,2,0.94654,0.94300,1423.77265,320.00571,0.98554,565.73671,0.978059,1.0000
FASTR donors/side,15,FASTR,1,0.95013,0.94720,1145.54661,263.54095,0.97920,528.69050,0.978559,1.0000
FASTR donors/side,15,FASTR,2,0.95058,0.94727,1189.26786,267.14470,0.97915,548.58706,0.978560,1.0000
synced,clk0 mod0,FASTR,1,0.95289,0.90877,91.02505,21.07054,0.94911,24.78102,0.997358,1.0000
synced,clk0 mod0,Allen IAR,1,0.49062,0.48538,950.39373,219.05632,0.19598,778.45308,1.016380,0.9800
synced,clk0 mod0,Local median,1,0.05692,0.03167,0.16370,0.15388,0.05798,0.15166,0.999769,1.0000
synced,clk0 mod0,FASTR,2,0.95420,0.91237,94.28171,21.36880,0.95181,25.66201,0.997336,1.0000
synced,clk0 mod0,Allen IAR,2,0.49070,0.48649,984.35985,222.08811,0.18990,806.36989,1.016377,0.9800
synced,clk0 mod0,Local median,2,0.04610,0.03299,0.16716,0.15699,0.04904,0.15475,0.999761,1.0000
synced 1 kHz,clk0 mod0,FASTR,1,0.98109,0.96144,225.90361,52.15571,0.64438,2.78717,0.987000,1.0000
synced 1 kHz,clk0 mod0,Allen IAR,1,0.67779,0.66726,202.48279,46.70103,0.22895,87.74598,0.989287,0.9800
synced 1 kHz,clk0 mod0,Local median,1,0.07145,0.05205,0.23007,0.16874,0.14751,0.34339,0.999421,1.0000
synced 1 kHz,clk0 mod0,FASTR,2,0.98126,0.96213,233.95703,52.87590,0.66185,2.89022,0.986986,1.0000
synced 1 kHz,clk0 mod0,Allen IAR,2,0.67899,0.67133,209.65235,47.32941,0.23362,90.82973,0.989281,0.9800
synced 1 kHz,clk0 mod0,Local median,2,0.06829,0.04880,0.23444,0.17184,0.14366,0.35173,0.999412,1.0000
FASTR radius,15,FASTR r15,1,0.89930,0.89614,1694.96124,389.98895,0.96350,110.97790,0.889387,1.0000
FASTR radius,15,FASTR r15,2,0.90005,0.89692,1760.00096,395.40901,0.96367,115.16432,0.889362,1.0000
FASTR radius,15 clk0,FASTR r15,1,0.98115,0.97176,447.41541,103.20580,0.83626,28.50355,0.994123,1.0000
FASTR radius,15 clk0,FASTR r15,2,0.98135,0.97223,463.37995,104.63406,0.83962,29.52693,0.994160,1.0000
FASTR alignment,off,FASTR no-align,1,0.92219,0.92140,4035.48922,928.61802,0.80040,138.63012,0.780600,1.0000
FASTR alignment,off,FASTR no-align,2,0.92252,0.92101,4190.42444,940.97812,0.79911,143.85375,0.780600,1.0000
